date,nav
31-05-2021,12.65660
28-05-2021,12.65330
27-05-2021,12.65220
25-05-2021,12.65000
24-05-2021,12.64880
21-05-2021,12.64550
20-05-2021,12.64440
19-05-2021,12.64320
18-05-2021,12.64230
17-05-2021,12.64110
14-05-2021,12.63780
12-05-2021,12.63560
11-05-2021,12.63440
10-05-2021,12.63330
07-05-2021,12.63010
06-05-2021,12.62890
05-05-2021,12.62780
04-05-2021,12.62670
03-05-2021,12.62560
30-04-2021,12.62260
29-04-2021,12.62170
28-04-2021,12.62070
27-04-2021,12.61950
26-04-2021,12.61860
23-04-2021,12.61500
22-04-2021,12.61360
20-04-2021,12.61160
19-04-2021,12.61040
16-04-2021,12.60680
15-04-2021,12.60600
12-04-2021,12.60230
09-04-2021,12.59910
08-04-2021,12.59890
07-04-2021,12.59780
06-04-2021,12.59690
05-04-2021,12.59550
31-03-2021,12.58940
30-03-2021,12.58760
26-03-2021,12.58290
25-03-2021,12.58150
24-03-2021,12.58010
23-03-2021,12.57870
22-03-2021,12.57720
19-03-2021,12.57390
18-03-2021,12.57240
17-03-2021,12.57120
16-03-2021,12.56990
15-03-2021,12.56880
12-03-2021,12.56570
10-03-2021,12.56340
09-03-2021,12.56180
08-03-2021,12.56090
05-03-2021,12.55780
04-03-2021,12.55710
03-03-2021,12.55690
02-03-2021,12.55580
01-03-2021,12.55470
26-02-2021,12.55150
25-02-2021,12.55200
24-02-2021,12.55060
23-02-2021,12.54840
22-02-2021,12.54770
18-02-2021,12.54300
17-02-2021,12.54150
16-02-2021,12.53950
15-02-2021,12.53790
12-02-2021,12.53440
11-02-2021,12.53310
10-02-2021,12.53110
09-02-2021,12.52940
08-02-2021,12.52830
05-02-2021,12.52420
04-02-2021,12.52270
03-02-2021,12.52150
02-02-2021,12.52050
01-02-2021,12.51940
29-01-2021,12.51570
28-01-2021,12.51390
27-01-2021,12.51280
25-01-2021,12.51010
22-01-2021,12.50710
21-01-2021,12.50640
20-01-2021,12.50550
19-01-2021,12.50350
18-01-2021,12.50310
15-01-2021,12.50050
14-01-2021,12.49930
13-01-2021,12.49950
12-01-2021,12.49820
11-01-2021,12.49710
08-01-2021,12.49720
07-01-2021,12.49610
06-01-2021,12.49530
05-01-2021,12.49460
04-01-2021,12.49300
01-01-2021,12.48880
31-12-2020,12.48730
30-12-2020,12.48580
29-12-2020,12.48440
28-12-2020,12.48260
24-12-2020,12.47790
23-12-2020,12.47660
22-12-2020,12.47450
21-12-2020,12.47320
18-12-2020,12.46930
17-12-2020,12.46810
16-12-2020,12.46710
15-12-2020,12.46670
14-12-2020,12.46560
11-12-2020,12.46170
10-12-2020,12.46140
09-12-2020,12.46000
08-12-2020,12.45850
07-12-2020,12.45780
04-12-2020,12.45420
03-12-2020,12.45260
02-12-2020,12.45200
01-12-2020,12.45310
27-11-2020,12.44970
26-11-2020,12.44850
25-11-2020,12.44690
24-11-2020,12.44470
23-11-2020,12.44260
20-11-2020,12.43790
19-11-2020,12.43580
18-11-2020,12.43390
17-11-2020,12.43130
13-11-2020,12.42620
12-11-2020,12.42500
11-11-2020,12.42200
10-11-2020,12.42070
09-11-2020,12.41980
06-11-2020,12.41590
05-11-2020,12.41480
04-11-2020,12.41440
03-11-2020,12.41340
02-11-2020,12.41200
29-10-2020,12.40820
28-10-2020,12.40700
27-10-2020,12.40580
26-10-2020,12.40450
23-10-2020,12.40020
22-10-2020,12.39990
21-10-2020,12.39840
20-10-2020,12.39690
19-10-2020,12.39510
16-10-2020,12.39010
15-10-2020,12.38810
14-10-2020,12.38650
13-10-2020,12.38280
12-10-2020,12.38160
09-10-2020,12.37710
08-10-2020,12.37350
07-10-2020,12.37140
06-10-2020,12.36330
05-10-2020,12.35930
01-10-2020,12.35270
30-09-2020,12.35080
29-09-2020,12.34900
28-09-2020,12.34880
25-09-2020,12.34510
24-09-2020,12.34490
23-09-2020,12.34350
22-09-2020,12.34270
21-09-2020,12.34140
18-09-2020,12.33750
17-09-2020,12.33540
16-09-2020,12.33310
15-09-2020,12.33110
14-09-2020,12.33030
11-09-2020,12.32430
10-09-2020,12.32400
09-09-2020,12.32160
08-09-2020,12.31980
07-09-2020,12.31920
04-09-2020,12.31670
03-09-2020,12.31510
02-09-2020,12.31360
01-09-2020,12.31250
31-08-2020,12.30820
28-08-2020,12.30310
27-08-2020,12.30390
26-08-2020,12.30310
25-08-2020,12.30240
24-08-2020,12.30240
21-08-2020,12.30020
20-08-2020,12.29920
19-08-2020,12.29660
18-08-2020,12.29400
17-08-2020,12.29320
14-08-2020,12.28820
13-08-2020,12.28680
12-08-2020,12.28550
11-08-2020,12.28330
10-08-2020,12.28060
07-08-2020,12.28010
06-08-2020,12.28000
05-08-2020,12.27800
04-08-2020,12.27680
03-08-2020,12.27490
31-07-2020,12.27160
30-07-2020,12.26970
29-07-2020,12.26660
28-07-2020,12.26580
27-07-2020,12.26540
24-07-2020,12.26170
23-07-2020,12.26200
22-07-2020,12.26050
21-07-2020,12.25770
20-07-2020,12.25810
17-07-2020,12.25380
16-07-2020,12.25190
15-07-2020,12.24960
14-07-2020,12.24800
13-07-2020,12.24350
10-07-2020,12.23830
09-07-2020,12.23480
08-07-2020,12.22840
07-07-2020,12.22450
06-07-2020,12.22260
03-07-2020,12.21650
02-07-2020,12.20630
01-07-2020,12.20030
30-06-2020,12.19760
29-06-2020,12.19580
26-06-2020,12.19350
25-06-2020,12.18410
24-06-2020,12.18100
23-06-2020,12.17780
22-06-2020,12.17330
19-06-2020,12.16860
18-06-2020,12.16640
17-06-2020,12.15790
16-06-2020,12.15540
15-06-2020,12.15050
12-06-2020,12.14130
11-06-2020,12.13920
10-06-2020,12.12780
09-06-2020,12.12430
08-06-2020,12.12200
05-06-2020,12.12000
04-06-2020,12.11840
03-06-2020,12.11790
02-06-2020,12.11350
01-06-2020,12.11290
29-05-2020,12.11250
28-05-2020,12.11600
27-05-2020,12.10570
26-05-2020,12.10080
22-05-2020,12.09070
21-05-2020,12.06760
20-05-2020,12.06000
19-05-2020,12.05500
18-05-2020,12.04690
15-05-2020,12.03100
14-05-2020,12.02620
13-05-2020,12.01910
12-05-2020,12.01600
11-05-2020,12.00480
08-05-2020,12.00410
06-05-2020,11.99130
05-05-2020,11.98680
04-05-2020,11.98050
30-04-2020,11.96840
29-04-2020,11.96810
28-04-2020,11.95660
27-04-2020,11.96510
24-04-2020,11.96610
23-04-2020,11.97080
22-04-2020,11.95360
21-04-2020,11.94770
20-04-2020,11.94050
17-04-2020,11.91960
16-04-2020,11.89700
15-04-2020,11.88590
13-04-2020,11.87830
09-04-2020,11.87040
08-04-2020,11.87140
07-04-2020,11.87660
03-04-2020,11.87250
31-03-2020,11.86540
30-03-2020,11.85600
27-03-2020,11.84600
26-03-2020,11.74360
24-03-2020,11.73290
23-03-2020,11.74370
20-03-2020,11.76220
19-03-2020,11.74770
18-03-2020,11.79080
17-03-2020,11.80930
16-03-2020,11.82200
13-03-2020,11.82010
12-03-2020,11.82970
11-03-2020,11.83500
09-03-2020,11.84220
06-03-2020,11.83740
05-03-2020,11.83420
04-03-2020,11.83200
03-03-2020,11.82070
02-03-2020,11.81950
28-02-2020,11.81530
27-02-2020,11.81790
26-02-2020,11.81610
25-02-2020,11.81140
24-02-2020,11.81020
20-02-2020,11.80100
18-02-2020,11.79870
17-02-2020,11.79800
14-02-2020,11.79290
13-02-2020,11.79230
12-02-2020,11.78890
11-02-2020,11.78880
10-02-2020,11.78430
07-02-2020,11.77430
06-02-2020,11.76820
05-02-2020,11.74630
04-02-2020,11.74250
03-02-2020,11.74000
31-01-2020,11.73070
