date,nav
31-05-2021,12.65690
28-05-2021,12.65360
27-05-2021,12.65250
25-05-2021,12.65030
24-05-2021,12.64910
21-05-2021,12.64580
20-05-2021,12.64470
19-05-2021,12.64350
18-05-2021,12.64260
17-05-2021,12.64140
14-05-2021,12.63810
12-05-2021,12.63590
11-05-2021,12.63470
10-05-2021,12.63360
07-05-2021,12.63040
06-05-2021,12.62920
05-05-2021,12.62810
04-05-2021,12.62710
03-05-2021,12.62600
30-04-2021,12.62290
29-04-2021,12.62200
28-04-2021,12.62100
27-04-2021,12.61980
26-04-2021,12.61890
23-04-2021,12.61530
22-04-2021,12.61390
20-04-2021,12.61190
19-04-2021,12.61080
16-04-2021,12.60720
15-04-2021,12.60640
12-04-2021,12.60260
09-04-2021,12.59940
08-04-2021,12.59920
07-04-2021,12.59820
06-04-2021,12.59720
05-04-2021,12.59590
31-03-2021,12.58980
30-03-2021,12.58800
26-03-2021,12.58330
25-03-2021,12.58180
24-03-2021,12.58050
23-03-2021,12.57910
22-03-2021,12.57760
19-03-2021,12.57420
18-03-2021,12.57270
17-03-2021,12.57160
16-03-2021,12.57030
15-03-2021,12.56920
12-03-2021,12.56600
10-03-2021,12.56380
09-03-2021,12.56220
08-03-2021,12.56130
05-03-2021,12.55810
04-03-2021,12.55740
03-03-2021,12.55730
02-03-2021,12.55620
01-03-2021,12.55510
26-02-2021,12.55190
25-02-2021,12.55240
24-02-2021,12.55090
23-02-2021,12.54880
22-02-2021,12.54810
18-02-2021,12.54340
17-02-2021,12.54190
16-02-2021,12.53980
15-02-2021,12.53830
12-02-2021,12.53480
11-02-2021,12.53350
10-02-2021,12.53150
09-02-2021,12.52980
08-02-2021,12.52870
05-02-2021,12.52460
04-02-2021,12.52310
03-02-2021,12.52190
02-02-2021,12.52090
01-02-2021,12.51980
29-01-2021,12.51610
28-01-2021,12.51430
27-01-2021,12.51320
25-01-2021,12.51050
22-01-2021,12.50760
21-01-2021,12.50680
20-01-2021,12.50590
19-01-2021,12.50390
18-01-2021,12.50350
15-01-2021,12.50090
14-01-2021,12.49970
13-01-2021,12.49990
12-01-2021,12.49860
11-01-2021,12.49750
08-01-2021,12.49760
07-01-2021,12.49660
06-01-2021,12.49570
05-01-2021,12.49500
04-01-2021,12.49340
01-01-2021,12.48920
31-12-2020,12.48770
30-12-2020,12.48620
29-12-2020,12.48490
28-12-2020,12.48310
24-12-2020,12.47830
23-12-2020,12.47710
22-12-2020,12.47500
21-12-2020,12.47370
18-12-2020,12.46980
17-12-2020,12.46860
16-12-2020,12.46760
15-12-2020,12.46710
14-12-2020,12.46600
11-12-2020,12.46220
10-12-2020,12.46180
09-12-2020,12.46040
08-12-2020,12.45900
07-12-2020,12.45830
04-12-2020,12.45460
03-12-2020,12.45300
02-12-2020,12.45240
01-12-2020,12.45350
27-11-2020,12.45020
26-11-2020,12.44900
25-11-2020,12.44740
24-11-2020,12.44520
23-11-2020,12.44310
20-11-2020,12.43830
19-11-2020,12.43630
18-11-2020,12.43440
17-11-2020,12.43170
13-11-2020,12.42670
12-11-2020,12.42540
11-11-2020,12.42250
10-11-2020,12.42110
09-11-2020,12.42030
06-11-2020,12.41640
