,schemeCode,schemeName
98,100136,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB
99,100150,Principal Child Benefit Fund-Super Saver-Future Guard Plan
100,100151,Principal Retail Equity Savings Fund - Growth Option
101,100152,Principal Nifty 100 Equal Weight Fund-Dividend
102,100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal
103,100153,Principal Nifty 100 Equal Weight Fund-Growth
104,100154,Principal Equity Fund-Dividend
105,100155,Principal Equity Fund-Growth
106,100156,Principal Tax Savings Fund
107,100171,Quant Dynamic Bond-Dividend
108,100171,Quant Income Plan-Dividend
109,100172,Quant Income Plan-Growth
110,100172,Quant Dynamic Bond-Growth
111,100173,Quant Dynamic Bond-Bonus
112,100173,Quant Income Plan-Bonus
113,100174,Quant Tax Plan-Dividend
114,100174,quant Tax Plan - Payout of Income Distribution cum capital withdrawal Option - Regular Plan
115,100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan
116,100174,quant Tax Plan - IDCW Option - Regular Plan
117,100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan
118,100175,quant Tax Plan - Growth Option - Regular Plan
119,100175,Quant Tax Plan-Growth
120,100176,Quant Income Bond-Dividend
121,100176,Quant Small Cap Fund-Dividend
122,100176,quant Small Cap Fund - Payout of Income Distribution cum capital withdrawal - Regular Plan
123,100176,quant Small Cap Fund - IDCW Option - Regular Plan
124,100177,Quant Small Cap Fund -Growth
125,100177,Quant Income Bond-Growth
126,100177,quant Small Cap Fund - Growth - Regular Plan
127,100178,ING Income Fund-Regular Plan -Dividend Option (Quarterly)
128,100179,ING Income Fund-Regular Plan -Dividend Option (Half Yearly)
129,100180,ING Income Fund- Regular Plan - Dividend Option (Annual)
130,100181,ING Income Fund-Regular Plan -Growth Option
131,100182,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly)
132,100183,ING Income Fund-Institutional Plan - Dividend Option (Quarterly)
133,100184,ING Income Fund-Institutional Plan -Dividend Option (Annual)
134,100185,ING Income Fund-Bonus Option
135,100186,ING Income Fund-Institutional Bonus Option
136,100187,ING Income Fund-Institutional Plan - Growth Option
137,100188,ING Core Equity Fund-Dividend Option
138,100189,ING Core Equity Fund-Growth Option
139,100190,ING Liquid Fund-Regular Growth Option
140,100191,ING Liquid Fund-Regular Weekly Dividend Option
141,100192,ING Liquid Fund-Regular Daily Dividend Option
142,100194,ING Liquid Fund-Auto Sweep Growth Option
143,100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option
144,100196,ING Liquid Fund-Institutional Growth Option
145,100197,ING Liquid Fund-Institutional Weekly Dividend Option
146,100198,ING Liquid Fund-Institutional Daily Dividend Option
147,100199,ING Liquid Fund-Super Institutional Growth Option
148,100200,ING Liquid Fund-Super Institutional Daily Dividend Option
149,100201,ING Liquid Fund-Super Institutional Weekly Dividend Option
150,100202,ING Balanced Fund-Dividend Option
151,100203,ING Balanced Fund-Growth Option
152,100218,JM Large Cap Fund (Regular) - IDCW 
153,100218,JM Large Cap Fund-Dividend
154,100219,JM Large Cap Fund-Growth
155,100219,JM Large Cap Fund (Regular) - Growth Option
156,100220,JM Equity Hybrid Fund (Regular) - IDCW 
157,100220,JM Equity Hybrid Fund-Dividend
158,100220,JM Aggressive Hybrid Fund (Regular) - IDCW
159,100221,JM Equity Hybrid Fund-Growth
160,100221,JM Equity Hybrid Fund (Regular) -Growth Option
161,100221,JM Aggressive Hybrid Fund (Regular) -Growth Option
162,100222,JM Income Fund (Regular) - Quarterly IDCW 
163,100222,JM Income Fund - Quarerly Dividend Option
164,100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW
165,100223,JM Income Fund - Growth Option
166,100223,JM Income Fund (Regular) - Growth Option
167,100223,JM Medium to Long Duration Fund (Regular) - Growth Option
168,100233,JM Liquid Fund (Regular) - Weekly IDCW
169,100233,JM Liquid Fund - Weekly Dividend Option
170,100234,JM Liquid Fund-Growth
171,100234,JM Liquid Fund - Growth Option
172,100237,JM High Liquidity Fund-- Institutional Plan - Growth
173,100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend
174,100241,JM High Liquidity Fund-- Institutional Plan - Dividend
175,100243,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option
176,100244,JM Liquid Fund - Quarterly Dividend Option
177,100244,JM Liquid Fund-- Quarterly Dividend
178,100244,JM Liquid Fund (Regular) - Quarterly IDCW
179,100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend
180,100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend
181,100247,JM Liquid Fund-Super Institutional Plan- Growth
182,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option
183,100249,JM G-Sec Fund - Quarterly Dividend Option
184,100250,JM G-Sec Fund - Growth Option
185,100251,JM G-Sec Fund-PF Plan - Growth Plan
186,100252,JM G-Sec Fund-PF Plan -Dividend Plan
187,100253,JM G-Sec Fund - Bonus Option - Principal Units
188,100254,JM Value Fund - Growth Option
189,100254,JM Value Fund (Regular) - Growth Option
190,100261,Kotak Gilt-Savings-Monthly Dividend
191,100262,Kotak Gilt-Savings-Growth
192,100263,Kotak Gilt-Savings-Annual Dividend
193,100264,Kotak Gilt-Investment Regular-Dividend
194,100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option
195,100265,Kotak Gilt-Investment Regular-Growth
196,100278,Kotak Gilt-Serial 2019-Dividend
197,100279,Kotak Gilt-Serial 2019-Growth
198,100280,Kotak Gilt-Investment  Provident Fund and Trust-Dividend
199,100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option
200,100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth
201,100282,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth
202,100283,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Dividend
203,100284,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth
204,100285,HDFC FMP 3M MAY 2006(1)-RETAIL-Dividend
205,100286,Kotak Equity Hybrid - Dividend
