date,nav
15-04-2021,10.00000
12-04-2021,10.02290
09-04-2021,10.02040
08-04-2021,10.01950
07-04-2021,10.01870
06-04-2021,10.01780
05-04-2021,10.01700
31-03-2021,10.01260
30-03-2021,10.01160
26-03-2021,10.00790
25-03-2021,10.00690
24-03-2021,10.00600
23-03-2021,10.00500
22-03-2021,10.00390
19-03-2021,10.00110
18-03-2021,10.10260
17-03-2021,10.10160
16-03-2021,10.10060
15-03-2021,10.09960
12-03-2021,10.09660
10-03-2021,10.09460
09-03-2021,10.09360
08-03-2021,10.09290
05-03-2021,10.09000
04-03-2021,10.08920
03-03-2021,10.08870
02-03-2021,10.08790
01-03-2021,10.08690
26-02-2021,10.08400
25-02-2021,10.08380
24-02-2021,10.08270
23-02-2021,10.08130
22-02-2021,10.08040
18-02-2021,10.07680
17-02-2021,10.07580
16-02-2021,10.07440
15-02-2021,10.07340
12-02-2021,10.07050
11-02-2021,10.06950
10-02-2021,10.06830
09-02-2021,10.06710
08-02-2021,10.06600
05-02-2021,10.06280
04-02-2021,10.06170
03-02-2021,10.06070
02-02-2021,10.05970
01-02-2021,10.05870
29-01-2021,10.05560
28-01-2021,10.05450
27-01-2021,10.05350
25-01-2021,10.05120
22-01-2021,10.04880
21-01-2021,10.04800
20-01-2021,10.04730
19-01-2021,10.04590
18-01-2021,10.04560
15-01-2021,10.04320
14-01-2021,10.04260
13-01-2021,10.04250
12-01-2021,10.04120
11-01-2021,10.04040
08-01-2021,10.03920
07-01-2021,10.03830
06-01-2021,10.03750
05-01-2021,10.03690
04-01-2021,10.03590
01-01-2021,10.03260
31-12-2020,10.03100
30-12-2020,10.02990
29-12-2020,10.02830
28-12-2020,10.02710
24-12-2020,10.02320
23-12-2020,10.02200
22-12-2020,10.02050
21-12-2020,10.01950
18-12-2020,10.01650
17-12-2020,10.01550
16-12-2020,10.01480
15-12-2020,10.01290
14-12-2020,10.20570
11-12-2020,10.20250
10-12-2020,10.20210
09-12-2020,10.20080
08-12-2020,10.20030
07-12-2020,10.19990
04-12-2020,10.19690
03-12-2020,10.19550
02-12-2020,10.19460
01-12-2020,10.19520
27-11-2020,10.19200
26-11-2020,10.19100
25-11-2020,10.18960
24-11-2020,10.18720
23-11-2020,10.18590
20-11-2020,10.18220
19-11-2020,10.18090
18-11-2020,10.17930
17-11-2020,10.17700
13-11-2020,10.17300
12-11-2020,10.17190
11-11-2020,10.17040
10-11-2020,10.16910
09-11-2020,10.16800
06-11-2020,10.16490
05-11-2020,10.16390
04-11-2020,10.16290
03-11-2020,10.16090
02-11-2020,10.16000
29-10-2020,10.15660
28-10-2020,10.15570
27-10-2020,10.15460
26-10-2020,10.15270
23-10-2020,10.14930
22-10-2020,10.14870
21-10-2020,10.14800
20-10-2020,10.14570
19-10-2020,10.14450
16-10-2020,10.14010
15-10-2020,10.13770
14-10-2020,10.13630
13-10-2020,10.13300
12-10-2020,10.13190
09-10-2020,10.12810
08-10-2020,10.12500
07-10-2020,10.12270
06-10-2020,10.11800
05-10-2020,10.11600
01-10-2020,10.11060
30-09-2020,10.10860
29-09-2020,10.10700
28-09-2020,10.10650
25-09-2020,10.10310
24-09-2020,10.10270
23-09-2020,10.10190
22-09-2020,10.10130
21-09-2020,10.10020
18-09-2020,10.09710
17-09-2020,10.09550
16-09-2020,10.09320
15-09-2020,10.09180
14-09-2020,10.28140
11-09-2020,10.27570
10-09-2020,10.27520
09-09-2020,10.27380
08-09-2020,10.27210
07-09-2020,10.27160
04-09-2020,10.26910
03-09-2020,10.26720
02-09-2020,10.26610
01-09-2020,10.26470
31-08-2020,10.26120
28-08-2020,10.25710
27-08-2020,10.25740
26-08-2020,10.25660
25-08-2020,10.25570
24-08-2020,10.25590
21-08-2020,10.25340
20-08-2020,10.25160
19-08-2020,10.25100
18-08-2020,10.24870
17-08-2020,10.24720
14-08-2020,10.24150
13-08-2020,10.24030
12-08-2020,10.23920
11-08-2020,10.23720
10-08-2020,10.23690
07-08-2020,10.23450
06-08-2020,10.23440
05-08-2020,10.23300
04-08-2020,10.23160
03-08-2020,10.22960
31-07-2020,10.22650
30-07-2020,10.22480
29-07-2020,10.22350
28-07-2020,10.22260
27-07-2020,10.22230
24-07-2020,10.21890
23-07-2020,10.21840
22-07-2020,10.21570
21-07-2020,10.21440
20-07-2020,10.21330
17-07-2020,10.20980
16-07-2020,10.20850
15-07-2020,10.20750
14-07-2020,10.20530
13-07-2020,10.20330
10-07-2020,10.19890
09-07-2020,10.19410
08-07-2020,10.19050
07-07-2020,10.18760
06-07-2020,10.18440
03-07-2020,10.17720
02-07-2020,10.16950
01-07-2020,10.16550
30-06-2020,10.16280
29-06-2020,10.16140
26-06-2020,10.15950
25-06-2020,10.15050
24-06-2020,10.14830
23-06-2020,10.14520
22-06-2020,10.13980
19-06-2020,10.13730
18-06-2020,10.13470
17-06-2020,10.36010
16-06-2020,10.35830
15-06-2020,10.35240
12-06-2020,10.34640
11-06-2020,10.34410
10-06-2020,10.33250
09-06-2020,10.33110
08-06-2020,10.32920
05-06-2020,10.32490
04-06-2020,10.32310
03-06-2020,10.32380
02-06-2020,10.32160
01-06-2020,10.31990
29-05-2020,10.31680
28-05-2020,10.32330
27-05-2020,10.31470
26-05-2020,10.31010
22-05-2020,10.30250
21-05-2020,10.28600
20-05-2020,10.27980
19-05-2020,10.27280
18-05-2020,10.26740
15-05-2020,10.25110
14-05-2020,10.24420
13-05-2020,10.23960
12-05-2020,10.23810
11-05-2020,10.22670
08-05-2020,10.22350
06-05-2020,10.21690
05-05-2020,10.21240
04-05-2020,10.20600
30-04-2020,10.19820
29-04-2020,10.19490
28-04-2020,10.18610
27-04-2020,10.19190
24-04-2020,10.19640
23-04-2020,10.20590
22-04-2020,10.19090
21-04-2020,10.18620
20-04-2020,10.17600
17-04-2020,10.15910
16-04-2020,10.13870
15-04-2020,10.12880
13-04-2020,10.12360
09-04-2020,10.11710
08-04-2020,10.12190
07-04-2020,10.12860
03-04-2020,10.12190
31-03-2020,10.11460
30-03-2020,10.10870
27-03-2020,10.09660
26-03-2020,9.99710
24-03-2020,9.97970
23-03-2020,9.98960
20-03-2020,10.00830
19-03-2020,10.16110
18-03-2020,10.20540
17-03-2020,10.22510
16-03-2020,10.23720
13-03-2020,10.23440
12-03-2020,10.24700
11-03-2020,10.25730
09-03-2020,10.26230
06-03-2020,10.25770
05-03-2020,10.25690
04-03-2020,10.25370
03-03-2020,10.24260
02-03-2020,10.24050
28-02-2020,10.23570
27-02-2020,10.23920
26-02-2020,10.23780
25-02-2020,10.23250
24-02-2020,10.23070
20-02-2020,10.22320
18-02-2020,10.22110
17-02-2020,10.21990
14-02-2020,10.21530
13-02-2020,10.21450
12-02-2020,10.21130
11-02-2020,10.21100
10-02-2020,10.20760
07-02-2020,10.19940
06-02-2020,10.19390
05-02-2020,10.17610
04-02-2020,10.17180
03-02-2020,10.17040
31-01-2020,10.16270
30-01-2020,10.16030
29-01-2020,10.15840
28-01-2020,10.15580
27-01-2020,10.15370
24-01-2020,10.14550
23-01-2020,10.13870
22-01-2020,10.13540
21-01-2020,10.13180
20-01-2020,10.12960
17-01-2020,10.12390
16-01-2020,10.12230
15-01-2020,10.12040
14-01-2020,10.11800
13-01-2020,10.11890
10-01-2020,10.11310
09-01-2020,10.11260
08-01-2020,10.10990
07-01-2020,10.10540
06-01-2020,10.10360
03-01-2020,10.09980
02-01-2020,10.09410
01-01-2020,10.09190
31-12-2019,10.08660
30-12-2019,10.08520
27-12-2019,10.08080
26-12-2019,10.07880
24-12-2019,10.07580
23-12-2019,10.07510
20-12-2019,10.07020
19-12-2019,10.06620
18-12-2019,10.06150
17-12-2019,10.05620
16-12-2019,10.22920
13-12-2019,10.22240
12-12-2019,10.22170
11-12-2019,10.21800
10-12-2019,10.21860
09-12-2019,10.21650
06-12-2019,10.21720
05-12-2019,10.22220
04-12-2019,10.23270
03-12-2019,10.22930
02-12-2019,10.22590
29-11-2019,10.21950
