date,nav
15-04-2021,12.64380
12-04-2021,12.64060
09-04-2021,12.63740
08-04-2021,12.63630
07-04-2021,12.63530
06-04-2021,12.63430
05-04-2021,12.63320
31-03-2021,12.62770
30-03-2021,12.62650
26-03-2021,12.62180
25-03-2021,12.62060
24-03-2021,12.61940
23-03-2021,12.61820
22-03-2021,12.61690
19-03-2021,12.61330
18-03-2021,12.61190
17-03-2021,12.61080
16-03-2021,12.60950
15-03-2021,12.60830
12-03-2021,12.60460
10-03-2021,12.60210
09-03-2021,12.60090
08-03-2021,12.59990
05-03-2021,12.59640
04-03-2021,12.59530
03-03-2021,12.59480
02-03-2021,12.59370
01-03-2021,12.59240
26-02-2021,12.58890
25-02-2021,12.58860
24-02-2021,12.58730
23-02-2021,12.58550
22-02-2021,12.58440
18-02-2021,12.57990
17-02-2021,12.57870
16-02-2021,12.57690
15-02-2021,12.57570
12-02-2021,12.57220
11-02-2021,12.57080
10-02-2021,12.56940
09-02-2021,12.56800
08-02-2021,12.56660
05-02-2021,12.56260
04-02-2021,12.56120
03-02-2021,12.56000
02-02-2021,12.55880
01-02-2021,12.55750
29-01-2021,12.55380
28-01-2021,12.55240
27-01-2021,12.55110
25-01-2021,12.54820
22-01-2021,12.54530
21-01-2021,12.54430
20-01-2021,12.54350
19-01-2021,12.54180
18-01-2021,12.54140
15-01-2021,12.53840
14-01-2021,12.53770
13-01-2021,12.53760
12-01-2021,12.53600
11-01-2021,12.53490
08-01-2021,12.53360
07-01-2021,12.53240
06-01-2021,12.53140
05-01-2021,12.53070
04-01-2021,12.52950
01-01-2021,12.52540
31-12-2020,12.52350
30-12-2020,12.52200
29-12-2020,12.52000
28-12-2020,12.51860
24-12-2020,12.51370
23-12-2020,12.51220
22-12-2020,12.51030
21-12-2020,12.50920
18-12-2020,12.50540
17-12-2020,12.50410
16-12-2020,12.50330
15-12-2020,12.50100
14-12-2020,12.49990
11-12-2020,12.49600
10-12-2020,12.49550
09-12-2020,12.49400
08-12-2020,12.49340
07-12-2020,12.49290
04-12-2020,12.48930
03-12-2020,12.48760
02-12-2020,12.48660
01-12-2020,12.48740
27-11-2020,12.48350
26-11-2020,12.48230
25-11-2020,12.48060
24-11-2020,12.47770
23-11-2020,12.47610
20-11-2020,12.47170
19-11-2020,12.47020
18-11-2020,12.46820
17-11-2020,12.46540
13-11-2020,12.46040
12-11-2020,12.45910
11-11-2020,12.45720
10-11-2020,12.45580
09-11-2020,12.45440
06-11-2020,12.45070
05-11-2020,12.44940
04-11-2020,12.44830
03-11-2020,12.44580
02-11-2020,12.44470
29-10-2020,12.44060
28-10-2020,12.43930
27-10-2020,12.43810
26-10-2020,12.43580
23-10-2020,12.43160
22-10-2020,12.43090
21-10-2020,12.43010
20-10-2020,12.42730
19-10-2020,12.42580
16-10-2020,12.42040
15-10-2020,12.41750
14-10-2020,12.41590
13-10-2020,12.41180
12-10-2020,12.41050
09-10-2020,12.40590
08-10-2020,12.40210
07-10-2020,12.39930
06-10-2020,12.39350
05-10-2020,12.39120
01-10-2020,12.38450
30-09-2020,12.38210
29-09-2020,12.38020
28-09-2020,12.37960
25-09-2020,12.37550
24-09-2020,12.37510
23-09-2020,12.37410
22-09-2020,12.37340
21-09-2020,12.37210
18-09-2020,12.36830
17-09-2020,12.36640
16-09-2020,12.36360
15-09-2020,12.36190
14-09-2020,12.36090
11-09-2020,12.35400
10-09-2020,12.35350
09-09-2020,12.35180
08-09-2020,12.34980
07-09-2020,12.34930
04-09-2020,12.34630
03-09-2020,12.34410
02-09-2020,12.34270
01-09-2020,12.34110
31-08-2020,12.33690
28-08-2020,12.33200
27-08-2020,12.33250
26-08-2020,12.33160
25-08-2020,12.33040
24-08-2020,12.33070
21-08-2020,12.32770
20-08-2020,12.32560
19-08-2020,12.32490
18-08-2020,12.32210
17-08-2020,12.32030
14-08-2020,12.31350
13-08-2020,12.31210
12-08-2020,12.31080
11-08-2020,12.30840
10-08-2020,12.30810
07-08-2020,12.30530
06-08-2020,12.30520
05-08-2020,12.30350
04-08-2020,12.30180
03-08-2020,12.29940
31-07-2020,12.29570
30-07-2020,12.29370
29-07-2020,12.29220
28-07-2020,12.29110
27-07-2020,12.29080
24-07-2020,12.28680
23-07-2020,12.28620
22-07-2020,12.28300
21-07-2020,12.28140
20-07-2020,12.28010
