date,nav
05-08-2019,11.30750
02-08-2019,11.30610
01-08-2019,11.29070
31-07-2019,11.28710
30-07-2019,11.27610
29-07-2019,11.27220
26-07-2019,11.25690
25-07-2019,11.25670
24-07-2019,11.26110
23-07-2019,11.25880
22-07-2019,11.25760
19-07-2019,11.25600
18-07-2019,11.25260
17-07-2019,11.25130
16-07-2019,11.25190
15-07-2019,11.23960
12-07-2019,11.22440
11-07-2019,11.22300
10-07-2019,11.21780
09-07-2019,11.21200
08-07-2019,11.20810
05-07-2019,11.19270
04-07-2019,11.17880
03-07-2019,11.17240
02-07-2019,11.16450
01-07-2019,11.16040
28-06-2019,11.15450
27-06-2019,11.15190
26-06-2019,11.15280
25-06-2019,11.15680
24-06-2019,11.15830
21-06-2019,11.14840
20-06-2019,11.14850
19-06-2019,11.14400
18-06-2019,11.14270
17-06-2019,11.13080
14-06-2019,11.12440
13-06-2019,11.11610
12-06-2019,11.11190
11-06-2019,11.10790
10-06-2019,11.10850
07-06-2019,11.10930
06-06-2019,11.11930
04-06-2019,11.10250
03-06-2019,11.10340
31-05-2019,11.09260
30-05-2019,11.08280
29-05-2019,11.08360
28-05-2019,11.08020
27-05-2019,11.07670
24-05-2019,11.05260
23-05-2019,11.04400
22-05-2019,11.03350
21-05-2019,11.02900
20-05-2019,11.02610
17-05-2019,11.00940
16-05-2019,10.99620
15-05-2019,10.99530
14-05-2019,10.99190
13-05-2019,10.98230
10-05-2019,10.97340
09-05-2019,10.97280
08-05-2019,10.96810
07-05-2019,10.96560
06-05-2019,10.96230
03-05-2019,10.95590
02-05-2019,10.96120
30-04-2019,10.96000
26-04-2019,10.94700
25-04-2019,10.94550
24-04-2019,10.94990
23-04-2019,10.94820
22-04-2019,10.95360
18-04-2019,10.95460
16-04-2019,10.95310
15-04-2019,10.95210
12-04-2019,10.94700
11-04-2019,10.94610
10-04-2019,10.94650
09-04-2019,10.94340
08-04-2019,10.94200
05-04-2019,10.94430
04-04-2019,10.94940
03-04-2019,10.95830
02-04-2019,10.95870
29-03-2019,10.92660
28-03-2019,10.91140
27-03-2019,10.90480
26-03-2019,10.89840
25-03-2019,10.89490
22-03-2019,10.88690
20-03-2019,10.88070
19-03-2019,10.88050
